ID,original_length,rate_sim_1,dist_sim_1,rate_fbqs_1,dist_fbqs_1,rate_sim_2,dist_sim_2,rate_fbqs_2,dist_fbqs_2,rate_sim_5,dist_sim_5,rate_fbqs_5,dist_fbqs_5,rate_sim_10,dist_sim_10,rate_fbqs_10,dist_fbqs_10,rate_sim_20,dist_sim_20,rate_fbqs_20,dist_fbqs_20,rate_sim_40,dist_sim_40,rate_fbqs_40,dist_fbqs_40,rate_sim_60,dist_sim_60,rate_fbqs_60,dist_fbqs_60,rate_sim_80,dist_sim_80,rate_fbqs_80,dist_fbqs_80,rate_sim_100,dist_sim_100,rate_fbqs_100,dist_fbqs_100,rate_sim_1000,dist_sim_1000,rate_fbqs_1000,dist_fbqs_1000,rate_sim_10000,dist_sim_10000,rate_fbqs_10000,dist_fbqs_10000
1,588,0.4523809523809524,2996.66,0.24319727891156462,6349.69,0.4302721088435374,2996.66,0.24829931972789115,6356.11,0.4098639455782313,2996.66,0.23809523809523808,5224.87,0.3758503401360544,2996.66,0.23299319727891157,5224.67,0.32142857142857145,2996.66,0.21258503401360543,5224.67,0.3163265306122449,3073.55,0.1836734693877551,6940.78,0.30272108843537415,3022.29,0.15136054421768708,6940.78,0.3282312925170068,2996.66,0.1326530612244898,4770.56,0.282312925170068,4005.58,0.12244897959183673,6349.69,0.21768707482993196,13995.3,0.10034013605442177,6928.98,0.282312925170068,18693.5,0.02891156462585034,13805.6
2,1674,0.8697729988052568,362.787,0.44683393070489846,5579.49,0.8643966547192353,363.656,0.44683393070489846,5579.49,0.8494623655913979,362.881,0.44623655913978494,5579.49,0.8345280764635603,1788.82,0.44683393070489846,5579.49,0.7968936678614098,6376.52,0.44683393070489846,5579.49,0.7664277180406213,6374.26,0.4444444444444444,7004.25,0.7311827956989247,6688.52,0.4432497013142174,7003.79,0.7037037037037037,9305.15,0.44563918757467147,7003.79,0.6810035842293907,9420.83,0.44384707287933095,7003.79,0.25029868578255676,26319.9,0.35185185185185186,8016.04,0.52389486260454,26621.5,0.05913978494623656,20550.4
3,1371,0.46316557257476293,13049,0.24361779722830051,8753.32,0.4660831509846827,11661.5,0.24215900802334062,8733.48,0.4646243617797228,11661.5,0.24361779722830051,8742.65,0.47045951859956237,225.793,0.24507658643326038,8742.65,0.4653537563822028,496.824,0.24361779722830051,8742.65,0.4485776805251641,1838.61,0.24434719183078046,8741.25,0.42523705324580596,12742.4,0.24288840262582057,8741.25,0.4412837345003647,798.763,0.24215900802334062,8742.65,0.437636761487965,798.763,0.23924142961342085,27259.7,0.21444201312910285,28929,0.21079504011670314,5597.92,0.2312180889861415,29142.7,0.046681254558716266,11350.2
4,672,0.19642857142857142,4810.41,0.10119047619047619,6166.13,0.19047619047619047,4810.41,0.10119047619047619,12819.1,0.16964285714285715,6627.22,0.10416666666666667,12819.1,0.16964285714285715,6627.22,0.09821428571428571,12819.1,0.16666666666666666,16333.1,0.08928571428571429,12819.1,0.17410714285714285,8731.87,0.09226190476190477,12819.1,0.17261904761904762,11985.8,0.09226190476190477,12819.1,0.17261904761904762,8731.87,0.08928571428571429,12819.1,0.17261904761904762,8731.87,0.08928571428571429,12819.1,0.14136904761904762,12820.7,0.07886904761904762,6184.33,0.08482142857142858,15345.9,0.028273809523809524,12926.9
5,798,0.39097744360902253,232.991,0.20676691729323307,8333.84,0.37218045112781956,12268.9,0.20426065162907267,8328.84,0.38972431077694236,141.421,0.19674185463659147,18226.4,0.38220551378446116,141.421,0.20175438596491227,20018.9,0.38596491228070173,141.571,0.20300751879699247,20128.1,0.38345864661654133,100.073,0.19799498746867167,19999.3,0.38220551378446116,1649.26,0.19799498746867167,20164.7,0.37844611528822053,1649.5,0.19674185463659147,20128.1,0.36716791979949875,2497.96,0.19674185463659147,20128.1,0.22431077694235588,20070.3,0.18295739348370926,20628.2,0.16791979949874686,29520.2,0.06390977443609022,13467.1
6,792,0.6161616161616161,70.7107,0.32575757575757575,310114,0.6111111111111112,70.7107,0.3207070707070707,310114,0.5669191919191919,7110.11,0.3181818181818182,10818.5,0.5871212121212122,7111.17,0.3181818181818182,10818.9,0.5467171717171717,7111.17,0.30176767676767674,310114,0.5202020202020202,350.44,0.2840909090909091,310114,0.5113636363636364,350.44,0.2803030303030303,310114,0.5113636363636364,1911.89,0.27904040404040403,310114,0.5202020202020202,985.158,0.2777777777777778,10818.9,0.255050505050505,104845,0.2474747474747475,310114,0.22727272727272727,105096,0.08585858585858586,310205
7,454,0.7180616740088106,4019.95,0.3590308370044053,22467.6,0.7180616740088106,4019.95,0.3590308370044053,22467.6,0.7180616740088106,4019.95,0.3590308370044053,22467.6,0.7180616740088106,4019.95,0.3590308370044053,22467.6,0.7136563876651982,4040.06,0.3590308370044053,22467.6,0.7048458149779736,4040.06,0.3590308370044053,22467.6,0.6960352422907489,4040.06,0.3590308370044053,22467.6,0.6696035242290749,5019.71,0.3590308370044053,22467.6,0.6607929515418502,10682.2,0.3590308370044053,22467.6,0.3986784140969163,21990.4,0.34140969162995594,23766.6,0.3237885462555066,27241.3,0.1211453744493392,26675.8
8,5,0.2,-1,0.2,-1,0.2,-1,0.0,-1,0.2,-1,0.0,-1,0.2,-1,0.0,-1,0.2,-1,0.0,-1,0.2,-1,0.0,-1,0.2,-1,0.0,-1,0.2,-1,0.0,-1,0.2,-1,0.0,-1,0.2,-1,0.0,-1,0.2,-1,0.0,-1
9,643,0.7962674961119751,5608.03,0.39968895800933124,9726.16,0.7962674961119751,5608.03,0.39968895800933124,9726.16,0.7947122861586314,5608.03,0.39968895800933124,9726.16,0.7916018662519441,5638.78,0.39968895800933124,9726.16,0.7853810264385692,5648.59,0.39968895800933124,9726.16,0.7729393468118196,5648.59,0.39968895800933124,9726.16,0.7651632970451011,8085.44,0.39968895800933124,9726.16,0.7558320373250389,8085.44,0.39968895800933124,9726.16,0.7433903576982893,8085.44,0.39968895800933124,9726.16,0.5007776049766719,33838.4,0.37169517884914466,9428.68,0.4727838258164852,21529.2,0.08553654743390357,13801.2
10,5617,0.562221826597828,6721.44,0.39718711055723693,3002.94,0.5360512729214884,5227.74,0.39718711055723693,3002.94,0.4213993234822859,16165.9,0.394694676873776,3703.04,0.28075485134413386,29234.2,0.39327042905465553,3703.04,0.1694854904753427,41360.9,0.3833006943208118,3703.04,0.12088303364785473,59620.3,0.36229303898878407,3703.04,0.14669752536941427,59620.3,0.35018693252625954,3703.04,0.14064447213815204,59620.3,0.3416414456115364,3703.04,0.16699305679188178,59620.3,0.33202777283247287,3002.94,0.09773900658714617,41330.2,0.12978458251735803,25163.8,0.33719067117678475,31660.6,0.009613672779063557,9580.26
11,703,0.8165007112375533,500,0.42532005689900426,4688.43,0.802275960170697,503.125,0.42532005689900426,4688.43,0.7823613086770982,3127.29,0.4238975817923186,4688.43,0.7524893314366998,3126.05,0.4238975817923186,4688.43,0.716927453769559,4418.49,0.4167852062588905,4688.43,0.6685633001422475,6365.55,0.41251778093883357,4682.34,0.6372688477951636,6367.64,0.4096728307254623,4682.34,0.5960170697012802,6362.71,0.4096728307254623,4679.02,0.5889046941678521,5886.72,0.41251778093883357,4679.27,0.2702702702702703,13795.2,0.34281650071123754,2428.02,0.4879089615931721,13667.3,0.03556187766714083,14489.6
